Skill,Relevant_Coursework,Model_Estimated_ability,Course_Level,Course_Num,Course_IDNum
Process and Projects Documentation,"Engineering  599 Individual Engineering Project  Individual work on an assigned Engineering project under the supervision of a faculty member. The project will normally involve a literature review, theoretical work, and laboratory or field work. Engineering Communications, including written reports, logbooks and oral presentations.  ",0.20585834279060364,5.0,599.0,ENGG 599
Test Planning and Field Operations,"Engineering  599 Individual Engineering Project  Individual work on an assigned Engineering project under the supervision of a faculty member. The project will normally involve a literature review, theoretical work, and laboratory or field work. Engineering Communications, including written reports, logbooks and oral presentations.  ",0.19562531118392945,5.0,599.0,ENGG 599
Research and Development,"Engineering  599 Individual Engineering Project  Individual work on an assigned Engineering project under the supervision of a faculty member. The project will normally involve a literature review, theoretical work, and laboratory or field work. Engineering Communications, including written reports, logbooks and oral presentations.  ",0.19461274937391282,5.0,599.0,ENGG 599
Industrial Engineering,"Engineering  599 Individual Engineering Project  Individual work on an assigned Engineering project under the supervision of a faculty member. The project will normally involve a literature review, theoretical work, and laboratory or field work. Engineering Communications, including written reports, logbooks and oral presentations.  ",0.13057870951890946,5.0,599.0,ENGG 599
Mechanical Engineering,"Engineering  599 Individual Engineering Project  Individual work on an assigned Engineering project under the supervision of a faculty member. The project will normally involve a literature review, theoretical work, and laboratory or field work. Engineering Communications, including written reports, logbooks and oral presentations.  ",0.10703305387496947,5.0,599.0,ENGG 599
Process and Procedure Development,"Engineering  525 Engineering Entrepreneurship  This highly experiential course helps the engineering student build a personal practice in entrepreneurship, design thinking, and human-centered design for innovation. Topics include the entrepreneurial mindset; idea generation, validation, and feasibility analysis; product pretotyping and prototyping; and the basics of business design and execution. Leading edge practical tools and frameworks are examined and put to use in authentic learning activities that teach the student to get to first revenues.  ",0.22875479749441147,5.0,525.0,ENGG 525
Test Planning and Field Operations,"Engineering  525 Engineering Entrepreneurship  This highly experiential course helps the engineering student build a personal practice in entrepreneurship, design thinking, and human-centered design for innovation. Topics include the entrepreneurial mindset; idea generation, validation, and feasibility analysis; product pretotyping and prototyping; and the basics of business design and execution. Leading edge practical tools and frameworks are examined and put to use in authentic learning activities that teach the student to get to first revenues.  ",0.20384644919633865,5.0,525.0,ENGG 525
Research and Development,"Engineering  525 Engineering Entrepreneurship  This highly experiential course helps the engineering student build a personal practice in entrepreneurship, design thinking, and human-centered design for innovation. Topics include the entrepreneurial mindset; idea generation, validation, and feasibility analysis; product pretotyping and prototyping; and the basics of business design and execution. Leading edge practical tools and frameworks are examined and put to use in authentic learning activities that teach the student to get to first revenues.  ",0.1812801730275154,5.0,525.0,ENGG 525
Industrial Engineering,"Engineering  525 Engineering Entrepreneurship  This highly experiential course helps the engineering student build a personal practice in entrepreneurship, design thinking, and human-centered design for innovation. Topics include the entrepreneurial mindset; idea generation, validation, and feasibility analysis; product pretotyping and prototyping; and the basics of business design and execution. Leading edge practical tools and frameworks are examined and put to use in authentic learning activities that teach the student to get to first revenues.  ",0.13057870951890946,5.0,525.0,ENGG 525
Mechanical Engineering,"Engineering  525 Engineering Entrepreneurship  This highly experiential course helps the engineering student build a personal practice in entrepreneurship, design thinking, and human-centered design for innovation. Topics include the entrepreneurial mindset; idea generation, validation, and feasibility analysis; product pretotyping and prototyping; and the basics of business design and execution. Leading edge practical tools and frameworks are examined and put to use in authentic learning activities that teach the student to get to first revenues.  ",0.10703305387496947,5.0,525.0,ENGG 525
